id,appg,category,donors_isprivateindividual_1,donors_isprivateindividual_2,donors_isprivateindividual_3,donors_isprivateindividual_4,donors_isprivateindividual_5,donors_issolebeneficiary_1,donors_issolebeneficiary_2,donors_issolebeneficiary_3,donors_issolebeneficiary_4,donors_issolebeneficiary_5,donors_name_1,donors_name_2,donors_name_3,donors_name_4,donors_name_5,donors_paymentdescription_1,donors_paymentdescription_2,donors_paymentdescription_3,donors_paymentdescription_4,donors_paymentdescription_5,donors_paymenttype_1,donors_paymenttype_2,donors_paymenttype_3,donors_paymenttype_4,donors_paymenttype_5,donors_publicaddress_1,donors_publicaddress_2,donors_publicaddress_3,donors_publicaddress_4,donors_publicaddress_5,donors_value_1,donors_value_2,donors_value_3,donors_value_4,donors_value_5,end_date,link,member,mnis_id,parent_interest_id,published,purpose,registered,source_archive,start_date,summary,twfy_id,updated_1,visitlocations_country_1,visitlocations_country_2,visitlocations_country_3,visitlocations_destination_1,visitlocations_destination_2,visitlocations_destination_3
8569,,Visits outside the UK,False,,,,,True,,,,,Labour Friends of Israel,,,,,"Flights, accommodation, transport and meals",,,,,In kind,,,,,"BM LFI, London WC1N 3XX",,,,,2200.00,,,,,2023-09-07,https://interests-api.parliament.uk/api/v1/Interests/8569,Danny Beales,5339,,2024-07-31,"Fact-finding visit to meet with Israeli and Palestinian politicians, academics, activists, charity workers and diplomats.",2024-07-31,Apr07_25,2023-09-03,International visit to Israel between 03 September 2023 and 07 September 2023,,,Israel,Palestine,,,,
8704,,Visits outside the UK,False,,,,,True,,,,,Coalition for Global Prosperity,,,,,"Flights & Transport (£2054.01), Accommodation (£1028.05), Meals and Subsistence (£241.02)",,,,,In kind,,,,,"Coalition for Global Prosperity, 1 Horse Guards Ave, London SW1A 2HU",,,,,3323.48,,,,,2024-03-09,https://interests-api.parliament.uk/api/v1/Interests/8704,Sam Rushworth,5108,,2024-07-31,Visits to UK Aid funded projects (including British Council and Halo Trust's de-landmine operations) and meetings with political leaders from multiple parties.,2024-07-31,Apr07_25,2024-03-04,International visit to Sri Lanka between 04 March 2024 and 09 March 2024,,,Sri Lanka,,,Colombo and Jafna,,
8138,,Visits outside the UK,False,,,,,True,,,,,Labour Friends of Israel,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"BM LFI, London, WC1N 3XX",,,,,1950.00,,,,,2023-07-13,https://interests-api.parliament.uk/api/v1/Interests/8138,Jessica Toale,5202,,2024-07-30,"Fact-finding visit to Israel and the Occupied Palestinian Territories. Meetings with Israeli and Palestinian politicians, academics, activists and diplomats.",2024-07-30,Apr07_25,2023-07-09,International visit to Israel between 09 July 2023 and 13 July 2023,,,Israel,Palestine,,,,
7365,,Visits outside the UK,False,,,,,True,,,,,Labour Friends of Israel,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"BM LFI, London WC1N 3XX",,,,,1950.00,,,,,2023-07-13,https://interests-api.parliament.uk/api/v1/Interests/7365,Kevin Bonavia,5051,,2024-07-30,To get a better understanding of the political situation in Israel and Palestine,2024-07-29,Apr07_25,2023-07-09,International visit to Israel between 09 July 2023 and 13 July 2023,,,Israel,Palestine,,,,
8265,,Visits outside the UK,False,,,,,True,,,,,Edmund Burke Foundation Inc,,,,,"Return flights (£5661.79), accommodation (£485.50), transfers (£259.12) and meals (approx £100)",,,,,In kind,,,,,"600 Pennsylvania Avenue, SE STE 220, Washington, DC 20003-4375",,,,,6506.41,,,,,2024-07-10,https://interests-api.parliament.uk/api/v1/Interests/8265,Suella Braverman,4475,,2024-07-30,Give a speech,2024-07-30,Apr07_25,2024-07-07,International visit to United States between 07 July 2024 and 10 July 2024,,,United States,,,Washington DC,,
7188,,Visits outside the UK,False,,,,,True,,,,,United Against Malnutrition and Hunger,,,,,"Flights £950
Accommodation £800
Travel medication £300
Food, visa, transport and in-country expenses £125",,,,,In kind,,,,,"8 St Thomas Street, London SE1 9RS",,,,,2175.00,,,,,2024-02-15,https://interests-api.parliament.uk/api/v1/Interests/7188,Monica Harding,5299,,2024-07-30,"To see first hand the impact of UK overseas development assistance in treating and preventing malnutrition, and the work of national and regional government, civil society, health workers, local businesses and local communities in tackling malnutrition, including UNICEF.",2024-07-29,Apr07_25,2024-02-10,International visit to Kenya between 10 February 2024 and 15 February 2024,,,Kenya,,,,,
7565,,Visits outside the UK,False,,,,,True,,,,,United Against Malnutrition and Hunger,,,,,"Flights (£950)
Accommodation (£800)
Travel medication (£300)
Food, visa, transport, and in-country expenses (£125)",,,,,In kind,,,,,"8 St Thomas Street, London SE1 9RS",,,,,2175.00,,,,,2024-02-15,https://interests-api.parliament.uk/api/v1/Interests/7565,Steve Race,5064,,2024-07-30,"To see the impact of UK overseas development in treating and preventing malnutrition, and the work of national and regional government, civil society, health workers, local businesses and communities in tackling malnutrition.",2024-07-26,Apr07_25,2024-02-10,International visit to Kenya between 10 February 2024 and 15 February 2024,,,Kenya,,,,,
7220,,Visits outside the UK,False,,,,,True,,,,,Global Leaders in Law,,,,,"Travel allowance (£500.00) and hotel accommodation, estimate of probable value (£2000).",,,,,Monetary,,,,,"10 Queen Street Place, London EC4R 1AG",,,,,2500.00,,,,,2024-04-18,https://interests-api.parliament.uk/api/v1/Interests/7220,Mr Douglas Alexander,632,,2024-07-29,Conference,2024-07-29,Apr07_25,2024-04-16,International visit to Italy between 16 April 2024 and 18 April 2024,,,Italy,,,,,
7149,,Visits outside the UK,False,,,,,True,,,,,Conservative Friends of Israel Ltd (CFI Ltd),,,,,"Air travel, accommodation and hospitality",,,,,In kind,,,,,"CFI Ltd, PO Box 72288, London SW1P 9LB",,,,,2650.00,,,,,2024-02-16,https://interests-api.parliament.uk/api/v1/Interests/7149,Ben Obese-Jecty,5089,,2024-07-24,Fact finding political delegation,2024-07-24,Apr07_25,2024-02-12,International visit to Israel between 12 February 2024 and 16 February 2024,,,Israel,,,,,
7219,,Visits outside the UK,False,,,,,True,,,,,Labour Friends of Israel,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"BM LFI, London WC1N 3XX",,,,,2200.00,,,,,2023-09-07,https://interests-api.parliament.uk/api/v1/Interests/7219,Jo Platt,4673,,2024-07-24,"Fact finding visit. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats",2024-07-24,Apr07_25,2023-09-03,International visit to Israel between 03 September 2023 and 07 September 2023,,,Israel,,,Palestine,,
7351,,Visits outside the UK,False,,,,,True,,,,,Labour Friends of Israel,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"BM LFI, London WC1N 3XX",,,,,1950.00,,,,,2023-07-13,https://interests-api.parliament.uk/api/v1/Interests/7351,Mike Tapp,5266,,2024-07-24,"Fact finding visit to Israel and Palestine. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",2024-07-24,Apr07_25,2023-07-09,International visit to Palestine between 09 July 2023 and 13 July 2023,,,Palestine,Israel,,,,
6692,,Visits outside the UK,False,,,,,True,,,,,Labour Friends of Israel,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,BM LFI London WC1N 3XX,,,,,1950.00,,,,,2023-07-13,https://interests-api.parliament.uk/api/v1/Interests/6692,Jon Pearce,5115,,2024-07-19,"Fact finding visit to Israel and the Palestinian territories. Meetings with Israeli and Palestinian politicians, academics, activists and diplomats.",2024-07-19,Apr07_25,2023-07-09,International visit to Israel between 09 July 2023 and 13 July 2023,,,Israel,Palestine,,,,
