id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,regularity_of_payment,start_date,end_date,period_for_hours_worked,job_title,payment_type,payment_description,value,hours_worked,hours_details,is_ultimate_payer_different,ultimate_payer_name,ultimate_payer_protected_by_confidentiality,ultimate_payer_address,ultimate_payer_nature_of_business,is_payment_donated,donatee_paid_by,donatee_type,donatee_details,link,updated_2,updated_3,updated_4,updated_5,updated_6,category_code
12690,"Agreement starting 27 June 2025 - £22,000.00",12689,2025-07-10,2025-07-10,,Employment and earnings - Ongoing paid employment,1211,11115,conservative,Sir Andrew Mitchell,Quarterly,,,Quarterly,,Monetary,"(amount has been converted from US Dollars based on on 3 July 2025 exchange rate), Africa50 will meet the cost of any travel and other expenses arising from this role",22000,30,approx.,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12690,,,,,,1.2
12735,"Agreement - £8,750.00",12733,2025-06-27,2025-06-30,,Employment and earnings - Ongoing paid employment,4462,25374,conservative,Tom Tugendhat,Quarterly,,,Monthly,,Monetary,(payment will be made at the end of each quarter),8750,10,Estimated,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12735,,,,,,1.2
12484,"Agreement starting 01 May 2025 - £15,000.00",12483,2025-05-21,2025-05-21,,Employment and earnings - Ongoing paid employment,3912,24787,conservative,Richard Fuller,Yearly,,,Monthly,,Monetary,,15000,8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12484,,,,,,1.2
12322,"Agreement starting 01 April 2025 - £3,000.00",12321,2025-04-30,2025-05-01,,Employment and earnings - Ongoing paid employment,4651,25642,labour,Dan Carden,Monthly,,,Monthly,,Monetary,"(£36,000 per annum)",3000,12,approximately,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12322,,,,,,1.2
11942,Agreement starting 26 February 2025 - £977.01,3636,2025-03-05,2025-03-05,,Employment and earnings - Ongoing paid employment,4573,25579,labour,Dr Rosena Allin-Khan,Monthly,,,Yearly,,Monetary,Most work is at unsociable hours.,977.01,213,approximate,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/11942,,,,,,1.2
11843,"Agreement starting 14 February 2025 - £3,000.00",11842,2025-02-20,2025-02-20,,Employment and earnings - Ongoing paid employment,4020,24817,conservative,George Freeman,Monthly,,,Monthly,,Monetary,,3000,30,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/11843,,,,,,1.2
11472,Agreement starting 01 November 2024 - £791.55,11471,2024-12-13,2024-12-17,,Employment and earnings - Ongoing paid employment,4434,25324,scottish-national-party,Stephen Gethins,Monthly,,,Monthly,This post is solely focused on the School of International Relations.,Monetary,This is payment is for work undertaken at the School of International Relations,791.55,12,The number of hours is approximate and depends on my main job in Parliament,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/11472,,,,,,1.2
11423,"Agreement starting 01 December 2024 - £1,000.00",11422,2024-12-03,2024-12-03,2025-03-27,Employment and earnings - Ongoing paid employment,4020,24817,conservative,George Freeman,Monthly,,,Monthly,,Monetary,Payments have yet to start.,1000,12,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/11423,2025-07-07,,,,,1.2
11390,Agreement - £531.55,6538,2024-08-02,2024-11-29,2024-08-29,Employment and earnings - Ongoing paid employment,5111,26484,liberal-democrat,Martin Wrigley,Monthly,,,Weekly,,Monetary,Allowance,531.55,20,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/11390,2024-11-27,,,,,1.2
11257,"Agreement starting 16 October 2024 - £3,000.00",11256,2024-11-13,2024-11-13,,Employment and earnings - Ongoing paid employment,4020,24817,conservative,George Freeman,Monthly,,,Weekly,,Monetary,,3000,5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/11257,,,,,,1.2
10594,"Agreement starting 01 August 2024 - £1,256.83",6541,2024-08-29,2024-08-30,2025-05-10,Employment and earnings - Ongoing paid employment,5111,26484,liberal-democrat,Martin Wrigley,Monthly,,,Weekly,,Monetary,,1256.83,8,hours vary according to council business,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/10594,,,,,,1.2
7906,"Agreement - £1,144.17",7901,2024-07-31,2024-08-30,2024-08-30,Employment and earnings - Ongoing paid employment,5073,26338,liberal-democrat,Marie Goldman,Monthly,,,Weekly,,Monetary,,1144.17,5,"This is estimated and approximate. Some weeks it's more, some weeks less.",0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/7906,2025-03-31,,,,,1.2
10437,"Agreement - £1,023.00",8967,2024-08-13,2024-08-28,2025-08-26,Employment and earnings - Ongoing paid employment,5047,26329,labour,James Naish,Yearly,,,Monthly,,In kind,Company vehicle,1023,5,this time is for supporting the business in a director capacity.,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/10437,,,,,,1.2
7077,Agreement - £841.13,7074,2024-08-01,2024-08-04,2026-01-07,Employment and earnings - Ongoing paid employment,5255,26504,conservative,Joe Robertson,Monthly,,,Monthly,,Monetary,,841.13,0,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/7077,,,,,,1.2
9520,"Agreement starting 05 May 2017 - £15,500.00",9483,2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,4089,24942,liberal-democrat,Tessa Munt,Yearly,,,Weekly,,Monetary,,15500,15,approximate,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/9520,,,,,,1.2
7907,Agreement starting 18 July 2024 - £500.00,4836,2024-07-24,2024-08-04,,Employment and earnings - Ongoing paid employment,4074,24824,conservative,Mark Garnier,Quarterly,,,Quarterly,,Monetary,Payment for extra work as independent NED at Super Sharp Space Systems,500,10,approximate,0,,0,,,1,Paid direct to the recipient by the payer,Other,Kemyel Ltd,https://interests-api.parliament.uk/api/v1/Interests/7907,,,,,,1.2
8810,Agreement starting 02 May 2023 - £416.83,8764,2024-08-01,2024-08-04,,Employment and earnings - Ongoing paid employment,5265,26581,liberal-democrat,James MacCleary,Monthly,,,Monthly,,Monetary,,416.83,20,Hours worked is an estimate,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/8810,,,,,,1.2
8912,"Agreement - £4,000.00",8909,2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,5091,26352,reform,Nigel Farage,Monthly,,,Monthly,,Monetary,approx.,4000,16,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/8912,,,,,,1.2
9010,"Agreement - £4,114.00",9003,2024-08-01,2024-08-04,2025-08-26,Employment and earnings - Ongoing paid employment,5047,26329,labour,James Naish,Yearly,,,Monthly,,In kind,"My family and I use a company vehicle and stay in a property owned by the company for up to 14 days per year. This is the ""Class 1a NICs due"" figure from my 2024/25 P11D",4114,5,This time is required for managing the property and its agent who looks after bookings.,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/9010,,,,,,1.2
9836,Agreement - £250.00,9835,2024-08-04,2024-08-04,,Employment and earnings - Ongoing paid employment,5231,26595,independent,Mr Adnan Hussain,Monthly,,,Weekly,,Monetary,,250,1,approximate,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/9836,,,,,,1.2
8441,"Agreement starting 01 September 2024 - £5,000.00",8440,2024-07-31,2024-08-04,2024-09-11,Employment and earnings - Ongoing paid employment,4020,24817,conservative,George Freeman,Monthly,,,Monthly,,Monetary,,5000,8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/8441,2024-10-15,2025-03-07,,,,1.2
